source,target,Fisher_Z
Parietal_Sup_R,Paracentral_Lobule_R,0.6989
Frontal_Inf_Oper_L,Frontal_Inf_Tri_R,0.698
Caudate_R,Putamen_R,0.6979
Precentral_L,Frontal_Sup_Medial_R,0.6966
Frontal_Inf_Tri_L,Insula_L,0.6961
Frontal_Med_Orb_L,Frontal_Med_Orb_R,0.6954
Frontal_Sup_R,Cingulum_Ant_R,0.694
Heschl_L,Temporal_Sup_L,0.6936
Frontal_Mid_L,Parietal_Inf_L,0.6935
Rolandic_Oper_L,Putamen_L,0.6934
Precentral_R,SupraMarginal_R,0.6926
Insula_R,Cingulum_Ant_L,0.6924
Supp_Motor_Area_R,Parietal_Sup_L,0.6912
Postcentral_L,Parietal_Inf_R,0.6908
Frontal_Sup_Medial_R,Postcentral_L,0.6908
Frontal_Inf_Tri_R,Frontal_Sup_Medial_R,0.69
Cingulum_Mid_L,Parietal_Sup_R,0.689
Precentral_L,Frontal_Inf_Tri_L,0.6886
Frontal_Inf_Oper_R,Insula_R,0.6875
Precentral_R,Frontal_Inf_Tri_R,0.6872
Precentral_R,Cingulum_Post_R,0.6865
Parietal_Sup_L,Paracentral_Lobule_L,0.6864
Frontal_Sup_L,Parietal_Inf_L,0.6861
Cingulum_Post_R,Thalamus_R,0.6859
Cingulum_Post_L,Paracentral_Lobule_R,0.6854
Cingulum_Mid_R,Parietal_Sup_R,0.6846
Precentral_R,Parietal_Inf_R,0.6832
Frontal_Sup_Medial_L,Precuneus_R,0.6813
Insula_L,Caudate_L,0.6812
Frontal_Sup_Medial_L,Caudate_L,0.6809
Frontal_Mid_R,Parietal_Sup_L,0.6779
Supp_Motor_Area_R,Cingulum_Post_R,0.6767
Frontal_Sup_R,Parietal_Inf_L,0.675
Frontal_Sup_R,Cingulum_Post_R,0.6747
Hippocampus_L,ParaHippocampal_L,0.6745
Heschl_R,Temporal_Sup_R,0.6735
Frontal_Sup_Medial_L,Paracentral_Lobule_R,0.6727
Frontal_Inf_Tri_R,Frontal_Sup_Medial_L,0.672
Precentral_R,Parietal_Sup_R,0.672
Cerebelum_4_5_L,Vermis_4_5,0.6705
Frontal_Mid_L,Cingulum_Post_L,0.6705
Frontal_Sup_Medial_L,Precuneus_L,0.6678
Frontal_Inf_Tri_L,Postcentral_L,0.6649
Frontal_Sup_R,Parietal_Sup_L,0.6647
Cingulum_Mid_L,Parietal_Inf_R,0.6632
Frontal_Sup_Medial_R,Precuneus_R,0.6624
Cingulum_Ant_R,Putamen_R,0.6607
Lingual_R,Vermis_4_5,0.6606
Supp_Motor_Area_L,Cingulum_Post_R,0.6604
Frontal_Mid_R,Paracentral_Lobule_R,0.6603
Postcentral_L,Parietal_Sup_R,0.6601
Frontal_Inf_Oper_R,Caudate_L,0.6599
Occipital_Sup_L,Occipital_Mid_L,0.6597
