Region,Sub_Mean_Degree,Diag_Mean_Degree,Degree_Diff,U_Statistic,P_Value,P_Value_FDR,Significant_FDR,Effect_Size
Frontal_Mid_R,30.94135283570338,29.573392754585235,-1.3679600811181452,852.0,0.6575295763002251,0.998430791042222,False,-0.05838509316770191
Frontal_Mid_L,29.897701020233814,28.48936649597997,-1.4083345242538456,860.0,0.6033439672194636,0.998430791042222,False,-0.06832298136645965
Frontal_Sup_Orb_R,15.042608277164724,9.440217458782092,-5.6023908183826325,950.0,0.1666744295637319,0.998430791042222,False,-0.18012422360248448
Frontal_Sup_Orb_L,12.424060468208259,11.470231672010112,-0.9538287961981471,786.0,0.8594626035111881,0.998430791042222,False,0.023602484472049712
Frontal_Sup_L,32.22752557006957,30.335324039748848,-1.892201530320719,887.0,0.4371510133283888,0.998430791042222,False,-0.1018633540372671
Precentral_R,31.193823737360642,32.564856957801446,1.371033220440804,753.0,0.6234292496465386,0.998430791042222,False,0.06459627329192552
Rectus_R,8.770451466420148,5.239350553371744,-3.5311009130484043,892.0,0.38790138384404826,0.998430791042222,False,-0.1080745341614906
Fusiform_R,15.785421985309508,16.64319740591242,0.8577754206029127,769.0,0.7336151436523258,0.998430791042222,False,0.044720496894409933
Vermis_10,1.47041103992699,0.577036194381283,-0.8933748455457071,836.0,0.6108569758827913,0.998430791042222,False,-0.03850931677018643
Cingulum_Ant_L,27.54556814308311,26.700298485216056,-0.8452696578670533,817.0,0.9126949720928413,0.998430791042222,False,-0.014906832298136719
Occipital_Mid_L,19.394332169676236,21.2206582041461,1.826326034469865,708.0,0.3575342728207149,0.998430791042222,False,0.12049689440993794
Occipital_Sup_R,17.777336552865865,19.988890540897607,2.211553988031742,714.5,0.3908614461036465,0.998430791042222,False,0.1124223602484472
Occipital_Sup_L,20.10946670041595,23.285601813990912,3.1761351135749614,710.0,0.3675857853790475,0.998430791042222,False,0.11801242236024845
Lingual_R,23.33591668459326,25.942694574833176,2.606777890239915,744.0,0.5639967525529832,0.998430791042222,False,0.075776397515528
Lingual_L,22.669753154390744,25.687059012494952,3.0173058581042085,750.0,0.6032293923375978,0.998430791042222,False,0.06832298136645965
Cuneus_R,22.191103911313256,23.811856149898652,1.6207522385853963,732.0,0.48943237567141373,0.998430791042222,False,0.09068322981366461
Occipital_Inf_L,4.477227933803586,4.99441920040364,0.5171912666000544,782.0,0.8247478474892924,0.998430791042222,False,0.02857142857142858
Cuneus_L,23.538584999773146,26.639102322023934,3.100517322250788,712.0,0.37783571820550954,0.998430791042222,False,0.11552795031055896
Insula_R,32.560569988885426,30.932903004967212,-1.627666983918214,840.0,0.7422164017029504,0.998430791042222,False,-0.04347826086956519
Calcarine_R,25.232348809518168,28.559819243938993,3.3274704344208246,694.0,0.2921135645153031,0.998430791042222,False,0.13788819875776392
Calcarine_L,23.914902982192476,26.87876519412223,2.9638622119297544,702.5,0.3308199335541363,0.998430791042222,False,0.1273291925465838
Amygdala_R,11.763388425482173,5.611936762604995,-6.151451662877178,925.5,0.2270085333864782,0.998430791042222,False,-0.14968944099378878
Occipital_Inf_R,3.0997494179695995,1.798797093016944,-1.3009523249526556,790.0,0.8865212443511565,0.998430791042222,False,0.018633540372670843
Amygdala_L,9.551819592505044,6.684574798072282,-2.8672447944327626,941.5,0.17094277086223686,0.998430791042222,False,-0.16956521739130426
ParaHippocampal_R,16.404803114870845,14.791301746754616,-1.6135013681162285,834.0,0.7846878818456872,0.998430791042222,False,-0.03602484472049694
ParaHippocampal_L,17.961720846498643,17.43910287908883,-0.5226179674098148,822.0,0.8744259183192336,0.998430791042222,False,-0.02111801242236022
Hippocampus_R,23.466781187078816,21.13278993664716,-2.333991250431655,855.5,0.6335600245348709,0.998430791042222,False,-0.0627329192546584
Hippocampus_L,23.033951722194608,22.089585345645688,-0.9443663765489205,834.5,0.7821649679620554,0.998430791042222,False,-0.0366459627329192
Cingulum_Post_R,29.398885012793848,31.126926081598572,1.7280410688047247,741.0,0.5449113365434575,0.998430791042222,False,0.07950310559006213
Cingulum_Post_L,30.835181331925366,32.24090151773004,1.4057201858046717,746.0,0.5770264714770392,0.998430791042222,False,0.07329192546583851
Cingulum_Mid_R,32.73557590969306,33.26629603684628,0.5307201271532165,775.0,0.7785185361888718,0.998430791042222,False,0.037267080745341574
Cingulum_Mid_L,31.75390903058527,33.07238130738888,1.318472276803611,751.0,0.6100067333963222,0.998430791042222,False,0.0670807453416149
Cingulum_Ant_R,27.802922364835123,26.1093149402892,-1.6936074245459238,851.0,0.6644372652636528,0.998430791042222,False,-0.05714285714285716
Occipital_Mid_R,11.647545092522053,12.009170141802542,0.3616250492804891,749.0,0.5962574616334582,0.998430791042222,False,0.06956521739130439
Frontal_Sup_R,32.43996877471138,32.18634189219611,-0.2536268825152703,809.0,0.9733805992102311,1.0,False,-0.00496894409937898
Paracentral_Lobule_L,28.72180781235211,28.522309188089494,-0.19949862426261689,805.0,1.0,1.0,False,0.0
Precuneus_L,31.86633315128057,31.85197847459724,-0.014354676683332457,803.0,0.9885899571261101,1.0,False,0.00248447204968949
Putamen_L,28.301801374738222,28.09380423967039,-0.20799713506783135,801.5,0.9771821187002174,1.0,False,0.004347826086956497
Vermis_3,16.564682694259727,16.674522931619848,0.10984023736012105,799.0,0.9580731703872273,1.0,False,0.007453416149068359
Insula_L,31.773230920313694,31.971743777854957,0.1985128575412638,806.0,0.9961965371398717,1.0,False,-0.001242236024844745
