Source,Target,Group,Avg_Fisher_Z,Avg_r
Paracingulate Gyrus,Parahippocampal Gyrus (anterior),Diagnosed,0.399,0.3791
Paracingulate Gyrus,Central Opercular Cortex,Diagnosed,0.3973,0.3776
Supramarginal Gyrus (posterior),Temporal Fusiform Cortex (posterior),Diagnosed,0.3936,0.3744
Supramarginal Gyrus (posterior),Frontal Orbital Cortex,Diagnosed,0.3929,0.3739
Inferior Frontal Gyrus (pars triangularis),Superior Parietal Lobule,Diagnosed,0.3921,0.3731
Cingulate Gyrus (anterior),Lingual Gyrus,Diagnosed,0.392,0.3731
Precentral Gyrus,Central Opercular Cortex,Diagnosed,0.392,0.3731
Angular Gyrus,Temporal Occipital Fusiform Cortex,Diagnosed,0.3891,0.3706
Parahippocampal Gyrus (anterior),Parahippocampal Gyrus (posterior),Diagnosed,0.3877,0.3693
Cuneal Cortex,Parahippocampal Gyrus (anterior),Diagnosed,0.3859,0.3678
Middle Frontal Gyrus,Temporal Fusiform Cortex (posterior),Diagnosed,0.3854,0.3674
Postcentral Gyrus,Parahippocampal Gyrus (anterior),Diagnosed,0.3849,0.3669
Inferior Frontal Gyrus (pars triangularis),Parahippocampal Gyrus (anterior),Diagnosed,0.3833,0.3656
Angular Gyrus,Temporal Fusiform Cortex (posterior),Diagnosed,0.3827,0.3651
Superior Temporal Gyrus (posterior),Central Opercular Cortex,Diagnosed,0.3823,0.3647
Middle Frontal Gyrus,Supramarginal Gyrus (posterior),Diagnosed,0.3793,0.3621
Lateral Occipital Cortex (inferior),Precuneous Cortex,Diagnosed,0.3784,0.3613
Frontal Medial Cortex,Central Opercular Cortex,Diagnosed,0.3762,0.3594
Inferior Frontal Gyrus (pars triangularis),Cingulate Gyrus (posterior),Diagnosed,0.3758,0.3591
Supramarginal Gyrus (posterior),Planum Polare,Diagnosed,0.3741,0.3576
Temporal Fusiform Cortex (posterior),Occipital Fusiform Gyrus,Diagnosed,0.3711,0.355
Cingulate Gyrus (posterior),Lingual Gyrus,Diagnosed,0.3708,0.3547
Frontal Pole,Parietal Operculum Cortex,Diagnosed,0.3647,0.3493
Temporal Fusiform Cortex (posterior),Frontal Operculum Cortex,Diagnosed,0.3639,0.3487
Subcallosal Cortex,Precuneous Cortex,Diagnosed,0.3633,0.3481
Angular Gyrus,Central Opercular Cortex,Diagnosed,0.3615,0.3466
Postcentral Gyrus,Temporal Occipital Fusiform Cortex,Diagnosed,0.36,0.3452
Supramarginal Gyrus (anterior),Frontal Orbital Cortex,Diagnosed,0.3575,0.343
Parahippocampal Gyrus (posterior),Occipital Fusiform Gyrus,Diagnosed,0.3567,0.3423
Precentral Gyrus,Lateral Occipital Cortex (inferior),Diagnosed,0.3561,0.3418
Lateral Occipital Cortex (inferior),Frontal Operculum Cortex,Diagnosed,0.3556,0.3413
Supramarginal Gyrus (anterior),Lateral Occipital Cortex (inferior),Diagnosed,0.3543,0.3402
