Source,Target,Group,Avg_Fisher_Z,Avg_r
Inferior Temporal Gyrus (posterior),Superior Parietal Lobule,Diagnosed,0.0207,0.0207
Middle Temporal Gyrus (anterior),Lingual Gyrus,Diagnosed,-0.0186,-0.0186
Superior Temporal Gyrus (posterior),Juxtapositional Lobule Cortex,Diagnosed,-0.0181,-0.0181
Middle Temporal Gyrus (posterior),Angular Gyrus,Diagnosed,0.0177,0.0177
Postcentral Gyrus,Juxtapositional Lobule Cortex,Diagnosed,0.0174,0.0174
Middle Temporal Gyrus (anterior),Cuneal Cortex,Diagnosed,-0.0172,-0.0172
Superior Temporal Gyrus (anterior),Postcentral Gyrus,Diagnosed,0.0171,0.0171
Middle Frontal Gyrus,Superior Temporal Gyrus (anterior),Diagnosed,0.0162,0.0162
Middle Temporal Gyrus (anterior),Cingulate Gyrus (posterior),Diagnosed,-0.0161,-0.0161
Lateral Occipital Cortex (superior),Parahippocampal Gyrus (posterior),Diagnosed,0.0161,0.0161
Superior Temporal Gyrus (anterior),Intracalcarine Cortex,Diagnosed,-0.016,-0.016
Middle Temporal Gyrus (anterior),Postcentral Gyrus,Diagnosed,-0.0153,-0.0153
Inferior Frontal Gyrus (pars opercularis),Superior Temporal Gyrus (posterior),Diagnosed,-0.0151,-0.0151
Superior Temporal Gyrus (anterior),Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.0144,0.0144
Inferior Temporal Gyrus (anterior),Angular Gyrus,Diagnosed,0.0137,0.0137
Middle Frontal Gyrus,Juxtapositional Lobule Cortex,Diagnosed,0.0137,0.0137
Middle Temporal Gyrus (anterior),Parahippocampal Gyrus (posterior),Diagnosed,0.0137,0.0137
Middle Temporal Gyrus (temporooccipital),Juxtapositional Lobule Cortex,Diagnosed,0.0131,0.0131
Precentral Gyrus,Planum Temporale,Diagnosed,0.0131,0.0131
Precentral Gyrus,Middle Temporal Gyrus (anterior),Diagnosed,-0.0128,-0.0128
Inferior Temporal Gyrus (anterior),Juxtapositional Lobule Cortex,Diagnosed,-0.0124,-0.0124
Superior Temporal Gyrus (anterior),Inferior Temporal Gyrus (anterior),Diagnosed,0.0123,0.0123
Middle Temporal Gyrus (anterior),Temporal Occipital Fusiform Cortex,Diagnosed,-0.0119,-0.0119
Middle Temporal Gyrus (anterior),Cingulate Gyrus (anterior),Diagnosed,-0.0109,-0.0109
Inferior Temporal Gyrus (anterior),Inferior Temporal Gyrus (posterior),Diagnosed,-0.0108,-0.0108
Middle Temporal Gyrus (anterior),Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.0104,0.0104
Inferior Frontal Gyrus (pars opercularis),Juxtapositional Lobule Cortex,Diagnosed,0.0103,0.0103
Inferior Temporal Gyrus (temporooccipital),Juxtapositional Lobule Cortex,Diagnosed,0.0098,0.0098
Middle Temporal Gyrus (anterior),Middle Temporal Gyrus (temporooccipital),Diagnosed,0.0098,0.0098
Middle Temporal Gyrus (posterior),Temporal Fusiform Cortex (posterior),Diagnosed,0.009,0.009
Lateral Occipital Cortex (superior),Frontal Orbital Cortex,Diagnosed,0.0084,0.0084
Inferior Frontal Gyrus (pars opercularis),Middle Temporal Gyrus (anterior),Diagnosed,0.0083,0.0083
Insular Cortex,Middle Temporal Gyrus (anterior),Diagnosed,0.0079,0.0079
Middle Frontal Gyrus,Middle Temporal Gyrus (anterior),Diagnosed,-0.0077,-0.0077
Middle Temporal Gyrus (anterior),Planum Temporale,Diagnosed,-0.0067,-0.0067
Temporal Pole,Middle Temporal Gyrus (posterior),Diagnosed,-0.0061,-0.0061
Inferior Temporal Gyrus (posterior),Frontal Medial Cortex,Diagnosed,0.0059,0.0059
Juxtapositional Lobule Cortex,Frontal Orbital Cortex,Diagnosed,-0.0046,-0.0046
Middle Temporal Gyrus (anterior),Inferior Temporal Gyrus (anterior),Diagnosed,-0.0038,-0.0038
Inferior Temporal Gyrus (posterior),Precuneous Cortex,Diagnosed,-0.0036,-0.0036
Inferior Temporal Gyrus (anterior),Lateral Occipital Cortex (superior),Diagnosed,0.0035,0.0035
Inferior Frontal Gyrus (pars triangularis),Middle Temporal Gyrus (posterior),Diagnosed,0.0035,0.0035
Superior Frontal Gyrus,Inferior Temporal Gyrus (posterior),Diagnosed,-0.0034,-0.0034
Middle Frontal Gyrus,Temporal Pole,Diagnosed,-0.0033,-0.0033
Middle Frontal Gyrus,Superior Temporal Gyrus (posterior),Diagnosed,0.0033,0.0033
Superior Temporal Gyrus (posterior),Temporal Fusiform Cortex (posterior),Diagnosed,-0.0028,-0.0028
Precentral Gyrus,Juxtapositional Lobule Cortex,Diagnosed,0.0027,0.0027
Inferior Temporal Gyrus (anterior),Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.0026,0.0026
Frontal Orbital Cortex,Planum Temporale,Diagnosed,0.0025,0.0025
Inferior Temporal Gyrus (posterior),Paracingulate Gyrus,Diagnosed,0.0024,0.0024
Intracalcarine Cortex,Planum Polare,Diagnosed,-0.0022,-0.0022
Inferior Temporal Gyrus (posterior),Juxtapositional Lobule Cortex,Diagnosed,-0.0017,-0.0017
Middle Temporal Gyrus (posterior),Lateral Occipital Cortex (inferior),Diagnosed,0.0014,0.0014
Lateral Occipital Cortex (superior),Cuneal Cortex,Diagnosed,-0.0012,-0.0012
Middle Temporal Gyrus (posterior),Temporal Fusiform Cortex (anterior),Diagnosed,0.001,0.001
Intracalcarine Cortex,Subcallosal Cortex,Diagnosed,0.0009,0.0009
Inferior Temporal Gyrus (anterior),Frontal Operculum Cortex,Diagnosed,-0.0007,-0.0007
Middle Frontal Gyrus,Inferior Temporal Gyrus (posterior),Diagnosed,0.0006,0.0006
Intracalcarine Cortex,Precuneous Cortex,Diagnosed,0.0001,0.0001
Inferior Temporal Gyrus (posterior),Supramarginal Gyrus (posterior),Diagnosed,0.0,0.0
