Source,Target,Group,Avg_Fisher_Z,Avg_r
Lateral Occipital Cortex (inferior),Parahippocampal Gyrus (posterior),Subthreshold,-0.0192,-0.0192
Middle Frontal Gyrus,Parahippocampal Gyrus (posterior),Subthreshold,-0.019,-0.019
Intracalcarine Cortex,Lingual Gyrus,Subthreshold,-0.0187,-0.0187
Middle Temporal Gyrus (posterior),Superior Parietal Lobule,Subthreshold,0.0186,0.0186
Frontal Pole,Parahippocampal Gyrus (posterior),Subthreshold,-0.0186,-0.0186
Middle Frontal Gyrus,Inferior Temporal Gyrus (anterior),Subthreshold,0.0182,0.0182
Cingulate Gyrus (posterior),Planum Temporale,Subthreshold,0.0182,0.0182
Inferior Temporal Gyrus (anterior),Planum Polare,Subthreshold,0.0178,0.0178
Middle Temporal Gyrus (posterior),Inferior Temporal Gyrus (posterior),Subthreshold,0.0175,0.0175
Frontal Orbital Cortex,Planum Temporale,Subthreshold,0.0173,0.0173
Inferior Temporal Gyrus (anterior),Supramarginal Gyrus (posterior),Subthreshold,0.0168,0.0168
Superior Frontal Gyrus,Parahippocampal Gyrus (posterior),Subthreshold,-0.0165,-0.0165
Superior Parietal Lobule,Planum Temporale,Subthreshold,0.0165,0.0165
Inferior Temporal Gyrus (posterior),Temporal Fusiform Cortex (posterior),Subthreshold,0.0161,0.0161
Temporal Pole,Inferior Temporal Gyrus (anterior),Subthreshold,0.0159,0.0159
Inferior Temporal Gyrus (posterior),Frontal Medial Cortex,Subthreshold,0.0156,0.0156
Middle Frontal Gyrus,Intracalcarine Cortex,Subthreshold,0.0155,0.0155
Frontal Medial Cortex,Planum Temporale,Subthreshold,0.0154,0.0154
Inferior Temporal Gyrus (anterior),Inferior Temporal Gyrus (temporooccipital),Subthreshold,0.0151,0.0151
Superior Frontal Gyrus,Inferior Temporal Gyrus (posterior),Subthreshold,0.0151,0.0151
Inferior Temporal Gyrus (posterior),Occipital Fusiform Gyrus,Subthreshold,-0.0151,-0.0151
Inferior Temporal Gyrus (posterior),Cingulate Gyrus (anterior),Subthreshold,-0.0148,-0.0148
Precentral Gyrus,Inferior Temporal Gyrus (posterior),Subthreshold,0.0148,0.0148
Lateral Occipital Cortex (superior),Cingulate Gyrus (posterior),Subthreshold,0.0146,0.0146
Middle Temporal Gyrus (anterior),Inferior Temporal Gyrus (posterior),Subthreshold,0.0142,0.0142
Inferior Temporal Gyrus (posterior),Precuneous Cortex,Subthreshold,0.0139,0.0139
Precentral Gyrus,Planum Temporale,Subthreshold,0.0133,0.0133
Inferior Temporal Gyrus (anterior),Juxtapositional Lobule Cortex,Subthreshold,-0.0124,-0.0124
Cingulate Gyrus (anterior),Planum Temporale,Subthreshold,-0.0121,-0.0121
Superior Temporal Gyrus (anterior),Inferior Temporal Gyrus (temporooccipital),Subthreshold,-0.0118,-0.0118
Lateral Occipital Cortex (inferior),Lingual Gyrus,Subthreshold,0.0118,0.0118
Inferior Frontal Gyrus (pars triangularis),Middle Temporal Gyrus (anterior),Subthreshold,-0.0116,-0.0116
Frontal Pole,Inferior Temporal Gyrus (anterior),Subthreshold,0.0112,0.0112
Middle Frontal Gyrus,Middle Temporal Gyrus (posterior),Subthreshold,0.0111,0.0111
Middle Temporal Gyrus (temporooccipital),Frontal Orbital Cortex,Subthreshold,0.0108,0.0108
Inferior Temporal Gyrus (temporooccipital),Parahippocampal Gyrus (posterior),Subthreshold,-0.0103,-0.0103
Intracalcarine Cortex,Frontal Orbital Cortex,Subthreshold,0.0102,0.0102
Inferior Temporal Gyrus (anterior),Temporal Fusiform Cortex (posterior),Subthreshold,0.0101,0.0101
Middle Frontal Gyrus,Planum Temporale,Subthreshold,-0.01,-0.01
Parahippocampal Gyrus (posterior),Temporal Fusiform Cortex (anterior),Subthreshold,-0.0099,-0.0099
Middle Temporal Gyrus (anterior),Superior Parietal Lobule,Subthreshold,0.0093,0.0093
Planum Polare,Planum Temporale,Subthreshold,0.009,0.009
Inferior Temporal Gyrus (temporooccipital),Planum Temporale,Subthreshold,0.0088,0.0088
Intracalcarine Cortex,Planum Temporale,Subthreshold,-0.0083,-0.0083
Postcentral Gyrus,Planum Temporale,Subthreshold,-0.0072,-0.0072
Superior Temporal Gyrus (anterior),Lingual Gyrus,Subthreshold,-0.0066,-0.0066
Inferior Temporal Gyrus (posterior),Superior Parietal Lobule,Subthreshold,-0.0058,-0.0058
Insular Cortex,Inferior Temporal Gyrus (posterior),Subthreshold,0.0053,0.0053
Middle Frontal Gyrus,Frontal Operculum Cortex,Subthreshold,-0.0052,-0.0052
Juxtapositional Lobule Cortex,Lingual Gyrus,Subthreshold,-0.0049,-0.0049
Inferior Temporal Gyrus (posterior),Juxtapositional Lobule Cortex,Subthreshold,0.0046,0.0046
Middle Temporal Gyrus (posterior),Parahippocampal Gyrus (posterior),Subthreshold,-0.0039,-0.0039
Inferior Temporal Gyrus (posterior),Supramarginal Gyrus (anterior),Subthreshold,0.0039,0.0039
Cuneal Cortex,Parahippocampal Gyrus (posterior),Subthreshold,-0.0035,-0.0035
Paracingulate Gyrus,Parahippocampal Gyrus (posterior),Subthreshold,-0.003,-0.003
Middle Temporal Gyrus (temporooccipital),Parahippocampal Gyrus (posterior),Subthreshold,-0.0023,-0.0023
Middle Frontal Gyrus,Temporal Fusiform Cortex (anterior),Subthreshold,-0.0016,-0.0016
Middle Temporal Gyrus (temporooccipital),Intracalcarine Cortex,Subthreshold,0.0014,0.0014
Postcentral Gyrus,Frontal Operculum Cortex,Subthreshold,-0.0008,-0.0008
Middle Frontal Gyrus,Inferior Temporal Gyrus (posterior),Subthreshold,-0.0003,-0.0003
Superior Temporal Gyrus (anterior),Supramarginal Gyrus (anterior),Subthreshold,0.0003,0.0003
Intracalcarine Cortex,Parahippocampal Gyrus (posterior),Subthreshold,-0.0001,-0.0001
