Source,Target,Group,Avg_Fisher_Z,Avg_r
Supramarginal Gyrus (anterior),Planum Polare,Subthreshold,0.3588,0.3442
Supramarginal Gyrus (anterior),Central Opercular Cortex,Subthreshold,0.3581,0.3436
Angular Gyrus,Temporal Fusiform Cortex (posterior),Subthreshold,0.3569,0.3425
Inferior Temporal Gyrus (temporooccipital),Parahippocampal Gyrus (anterior),Subthreshold,0.355,0.3408
Parahippocampal Gyrus (posterior),Lingual Gyrus,Subthreshold,0.3549,0.3407
Middle Temporal Gyrus (temporooccipital),Occipital Fusiform Gyrus,Subthreshold,0.3543,0.3402
Cuneal Cortex,Frontal Operculum Cortex,Subthreshold,0.3541,0.34
Cuneal Cortex,Central Opercular Cortex,Subthreshold,0.3539,0.3398
Superior Frontal Gyrus,Temporal Occipital Fusiform Cortex,Subthreshold,0.3523,0.3384
Superior Temporal Gyrus (anterior),Middle Temporal Gyrus (anterior),Subthreshold,0.352,0.3381
Subcallosal Cortex,Occipital Fusiform Gyrus,Subthreshold,0.3491,0.3356
Insular Cortex,Superior Temporal Gyrus (anterior),Subthreshold,0.3489,0.3354
Superior Temporal Gyrus (anterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.3487,0.3352
Insular Cortex,Parietal Operculum Cortex,Subthreshold,0.3472,0.3339
Superior Parietal Lobule,Precuneous Cortex,Subthreshold,0.3471,0.3338
Angular Gyrus,Lateral Occipital Cortex (inferior),Subthreshold,0.3462,0.333
Inferior Frontal Gyrus (pars triangularis),Supramarginal Gyrus (posterior),Subthreshold,0.3452,0.3321
Superior Parietal Lobule,Planum Polare,Subthreshold,0.3442,0.3313
Insular Cortex,Middle Frontal Gyrus,Subthreshold,0.3442,0.3312
Postcentral Gyrus,Parietal Operculum Cortex,Subthreshold,0.3437,0.3307
Temporal Fusiform Cortex (posterior),Planum Polare,Subthreshold,0.3407,0.3281
Precuneous Cortex,Central Opercular Cortex,Subthreshold,0.3405,0.3279
Inferior Temporal Gyrus (temporooccipital),Lateral Occipital Cortex (inferior),Subthreshold,0.3395,0.327
Supramarginal Gyrus (anterior),Precuneous Cortex,Subthreshold,0.3383,0.3259
